
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348268 2493624 254072 1670512    0    0     0  1368 1936 4917 61  9  0 30  0	
 2  1 348268 2491584 254072 1670868    0    0     0  1352 1910 4997 61  9  0 30  0	
 1  1 348268 2491220 254072 1671208    0    0     0  1832 1864 4819 61  8  0 31  0	
 1  1 348248 2490604 254088 1671544    0    0     0  1556 2019 4684 59  8  1 32  0	
 1  1 348232 2491472 254088 1670888   16    0    16  1236 1803 4538 60  7  0 32  0	
 3  0 348220 2490852 254096 1671232    0    0     0  1746 1894 4847 61  8  0 30  0	
 2  1 348212 2488556 254104 1671596   16    0    16  1390 1922 5053 62  9  1 29  0	
 3  0 348212 2488812 254104 1670980    0    0     0  1382 1946 5058 61  9  0 29  0	
 3  0 348212 2488836 254104 1671356    0    0     0  1690 1944 4936 61 10  0 29  0	
 1  1 348212 2488464 254112 1671700    0    0     0  1286 1844 4749 60  9  0 31  0	
 1  1 348212 2488232 254120 1672048    0    0     0  2020 1841 4522 60  8  0 32  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 348212 2488860 254128 1671400    0    0     0  1168 1846 4816 60  8  0 31  0	
 3  0 348212 2488744 254136 1671752    0    0     0  1652 1899 4954 62  8  0 30  0	
 2  1 348212 2487712 254144 1672136    0    0     0  1544 1956 5137 62  9  0 29  0	
 1  1 348212 2488084 254144 1671632    0    0     0  1138 1879 4896 61  9  0 30  0	
 2  1 348212 2488084 254152 1671880    0    0     0  1446 1897 4751 61  8  0 31  0	
 3  0 348212 2487852 254152 1672220    0    0     0  1134 1880 4905 61  9  0 30  0	
 2  1 348212 2487504 254152 1672588    0    0     0  1730 1908 5099 62  8  0 30  0	
 1  1 348212 2487812 254168 1671976    0    0     0  1432 1900 4806 61  9  0 30  0	
 1  1 348212 2487688 254168 1672336    0    0     0  1152 1904 4985 62  8  0 30  0	
 1  1 348212 2487688 254176 1672700    0    0     0  1620 1894 4886 61  9  0 30  0	
 1  1 348212 2487324 254176 1673060    0    0     0  1472 1931 4959 62  8  0 30  0	
 4  1 348212 2487952 254176 1672416    0    0     0  1738 1867 4695 60  9  0 31  0	
 4  1 348212 2487308 254192 1672772    0    0     0  1302 1931 4878 61  9  0 30  0	
 1  1 348212 2486812 254192 1673116    0    0     0  1704 1954 5193 62  8  0 30  0	
 3  0 348212 2487184 254200 1672532    0    0     0  1382 1942 5176 61 10  0 29  0	
 3  0 348212 2487184 254200 1672880    0    0     0  1658 1911 4977 61  8  0 31  0	
 1  1 348212 2486828 254200 1673224    0    0     0  1796 1877 4803 62  8  0 31  0	
 3  0 348208 2486176 254216 1673576    0    0     0  1214 1835 4563 60  8  0 32  0	
 3  0 348184 2486920 254216 1672936   16    0    16  1316 1852 4744 61  9  0 31  0	
 3  0 348176 2486424 254224 1673284    0    0     0  2116 1908 4905 60  9  0 31  0	
 1  1 348160 2484144 254224 1673652    0    0     0  1366 1894 4999 62  9  0 30  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 348160 2483672 254232 1673996    0    0     0  1330 1866 4904 61  8  0 31  0	
 2  1 348160 2484640 254240 1673376    0    0     0  1260 1849 4588 62  7  0 31  0	
 3  0 348156 2484268 254240 1673720    0    0     0  1280 1859 4889 61  8  0 31  0	
 1  1 348156 2483384 254256 1674068    0    0     0  2084 1931 4757 59  9  1 31  0	
 1  1 348156 2484004 254256 1673448    0    0     0  1364 1919 5152 62  8  0 30  0	
 1  1 348156 2483608 254256 1673928    0    0    54  1852 1968 5211 62  9  0 29  0	
 1  1 348156 2483260 254264 1674284    0    0     0  1322 1921 4942 61  8  0 30  0	
 1  1 348156 2483020 254264 1674608    0    0     0  1540 1827 4421 60  8  0 32  0	
 2  1 348156 2483648 254280 1673980    0    0     0  1246 1870 4705 61  9  0 31  0	
 1  1 348156 2483400 254280 1674328    0    0     0  1316 1878 4861 61  8  0 31  0	
 1  1 348156 2483036 254280 1674684    0    0     0  1766 1864 4958 62  8  0 31  0	
 2  1 348156 2482260 254296 1675040    0    0     0  1646 2214 5022 66  9  0 26  0	
 2  1 348156 2482756 254296 1674420    0    0     0  1390 3762 6250 91  9  0  0  0	
 1  1 348156 2482756 254316 1674768    0    0     0  1786 2110 4936 64  9  0 27  0	
 3  0 348156 2482508 254316 1675128    0    0     0  1286 1908 4984 61  9  0 30  0	
 2  1 348156 2482896 254316 1674496    0    0     0  1692 1940 5133 61  9  0 30  0	
 1  1 348156 2482648 254324 1674888    0    0     0  1182 1999 5197 63  9  0 28  0	
 3  1 348156 2482260 254324 1675252    0    0     0  1200 2605 5576 73  8  0 19  0	
 3  1 348156 2482416 254340 1675604    0    0     0  1976 2450 5255 70  9  0 21  0	
 3  0 348156 2483044 254340 1675008    0    0     0  1192 1937 5140 62  8  0 29  0	
 4  0 348156 2482804 254340 1675356    0    0     0  1614 1856 4782 61  8  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348156 2482044 254348 1675720    0    0     0  1126 1902 4887 61  9  0 30  0	
 1  1 348128 2482276 254348 1675100   16    0    16  1578 1979 5238 62  9  0 29  0	
 3  0 348120 2482104 254364 1675464   16    0    16  1120 1880 4732 61  9  0 30  0	
 2  1 348104 2479808 254364 1675816    0    0     0  1120 1873 4845 61  9  0 30  0	
 1  1 348104 2479444 254364 1676156    0    0     0  1588 1858 4768 60  8  0 31  0	
 1  1 348104 2479908 254372 1675524    0    0     0  1574 1927 4761 61  9  0 30  0	
 3  0 348104 2479908 254380 1675864    0    0     0  1310 1910 4915 62  8  0 30  0	
 1  1 348104 2479288 254388 1676216    0    0     0  1770 1888 4711 60  9  0 31  0	
 1  1 348104 2478932 254388 1676572    0    0     0  1366 1945 5123 62  8  0 29  0	
 4  1 348104 2479568 254396 1675944    0    0     0  2184 1909 4977 62  8  0 31  0	
 2  1 348104 2479280 254404 1676308    0    0     0  1334 1957 5007 61  9  0 30  0	
 1  1 348104 2478908 254404 1676664    0    0     0  1302 1877 4848 61  8  0 31  0	
 1  1 348104 2479156 254420 1676032    0    0     0  1264 1857 4526 61  9  0 31  0	
 1  1 348104 2479188 254420 1676376    0    0     0  1604 1877 4734 60  9  0 31  0	
 2  1 348104 2478956 254420 1676712    0    0     0  1722 1840 4734 61  8  0 31  0	
 3  0 348104 2478344 254428 1677060    0    0     0  1270 1876 4760 61  9  0 30  0	
 4  1 348104 2478840 254428 1676448    0    0     0  1362 1899 5123 62  8  0 30  0	
 3  1 348104 2478832 254444 1676828    0    0     0  1836 1900 5072 62  8  0 30  0	
 3  0 348104 2478212 254444 1677172    0    0     0  1632 2021 5245 63  9  0 29  0	
 4  1 348104 2477972 254444 1677516    0    0     0  1292 1879 4836 60  9  0 31  0	
 2  1 348104 2478444 254452 1676872    0    0     0  1204 1823 4323 59  9  0 32  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
